"filename", "language", "C#", "XAML", "Markdown", "JSON", "XML", "Properties", "comment", "blank", "total"
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_odgenulo_wpftmp.AssemblyInfo.cs", "C#", -11, 0, 0, 0, 0, 0, -10, -5, -26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_odgenulo_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, -21, 0, -1, -22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_odgenulo_wpftmp.GlobalUsings.g.cs", "C#", -5, 0, 0, 0, 0, 0, -1, -1, -7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_qjmx0t4d_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_qjmx0t4d_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_qjmx0t4d_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_sswhkxrf_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_sswhkxrf_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_sswhkxrf_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_tfrhgqwr_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_tfrhgqwr_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_tfrhgqwr_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_w3v0y4tx_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_w3v0y4tx_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_w3v0y4tx_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_wrjp40mv_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_wrjp40mv_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_wrjp40mv_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_yaotywpv_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_yaotywpv_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_yaotywpv_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_zobgbrf5_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_zobgbrf5_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_zobgbrf5_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_zp13eayf_wpftmp.AssemblyInfo.cs", "C#", 11, 0, 0, 0, 0, 0, 10, 5, 26
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_zp13eayf_wpftmp.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 21, 0, 1, 22
"e:\project\2025\TROIEditor\TROIEditor\obj\Debug\net8.0-windows\TROIEditor_zp13eayf_wpftmp.GlobalUsings.g.cs", "C#", 5, 0, 0, 0, 0, 0, 1, 1, 7
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_g0gpft5z_wpftmp.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 83, 0, 0, 0, 0, 83
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_g0gpft5z_wpftmp.csproj.nuget.g.props", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 16
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_g0gpft5z_wpftmp.csproj.nuget.g.targets", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_odgenulo_wpftmp.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, -83, 0, 0, 0, 0, -83
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_odgenulo_wpftmp.csproj.nuget.g.props", "XML", 0, 0, 0, 0, -16, 0, 0, 0, -16
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_odgenulo_wpftmp.csproj.nuget.g.targets", "XML", 0, 0, 0, 0, -6, 0, 0, 0, -6
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_qjmx0t4d_wpftmp.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 83, 0, 0, 0, 0, 83
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_qjmx0t4d_wpftmp.csproj.nuget.g.props", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 16
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_qjmx0t4d_wpftmp.csproj.nuget.g.targets", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_w3v0y4tx_wpftmp.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 83, 0, 0, 0, 0, 83
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_w3v0y4tx_wpftmp.csproj.nuget.g.props", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 16
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_w3v0y4tx_wpftmp.csproj.nuget.g.targets", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_wrjp40mv_wpftmp.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 83, 0, 0, 0, 0, 83
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_wrjp40mv_wpftmp.csproj.nuget.g.props", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 16
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_wrjp40mv_wpftmp.csproj.nuget.g.targets", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_yaotywpv_wpftmp.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 83, 0, 0, 0, 0, 83
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_yaotywpv_wpftmp.csproj.nuget.g.props", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 16
"e:\project\2025\TROIEditor\TROIEditor\obj\TROIEditor_yaotywpv_wpftmp.csproj.nuget.g.targets", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 6
"Total", "-", 3480, 799, 407, 332, 88, 294, 264, 179, 5843
